food_id,food_name_ar,food_name_en,ingredients_ar,ingredients_en,description_ar,description_en,main_category_ar,main_category_en,calorie_category,rating_avg,image_url,calories_per_100g,fats_per_100g,protein_per_100g,carbs_per_100g,user_1_rating,user_2_rating,user_3_rating,user_4_rating,user_5_rating,user_6_rating,user_7_rating,user_8_rating,user_9_rating,user_10_rating,user_11_rating,user_12_rating,user_13_rating,user_14_rating,user_15_rating,user_16_rating,user_17_rating,user_18_rating,user_19_rating,user_20_rating
13,شوربة عدس,Lentil Soup,عدس، بصل، جزر، كمون,"Lentils, onion, carrot, cumin",شوربة دافئة ومغذية,Warm and nutritious soup,شوربة,Soup,Low,4.7,https://upload.wikimedia.org/wikipedia/commons/6/64/Lentil_soup.jpg,93.0,0.8,7.5,15.3,3.0,,,,,,1.0,,5.0,,,,,,,,,,,
14,بطاطس محمرة,French Fries,بطاطس، زيت، ملح,"Potatoes, oil, salt",بطاطس مقلية مقرمشة,Crispy fried potatoes,نباتي,Vegetarian,High,4.8,https://upload.wikimedia.org/wikipedia/commons/1/12/French_fries.jpg,312.0,14.7,3.4,41.4,4.0,5.0,,5.0,2.0,,5.0,,5.0,,4.0,,4.0,4.0,1.0,,3.0,1.0,,1.0
15,سوشي مصري,Egyptian Sushi,رز، سمك مدخن، أعشاب بحرية,"Rice, smoked fish, seaweed",نسخة مصرية من السوشي,Egyptian version of sushi,أسماك,Seafood,Medium,4.0,https://upload.wikimedia.org/wikipedia/commons/6/60/Sushi_platter.jpg,143.0,1.4,6.1,24.1,,,,,,,,5.0,4.0,,,4.0,,,,,4.0,,5.0,
16,بطاطس بالفرن,Baked Potatoes,بطاطس، زبدة، أعشاب,"Potatoes, butter, herbs",بطاطس مطهية في الفرن,Oven-baked potatoes,نباتي,Vegetarian,Medium,4.3,https://upload.wikimedia.org/wikipedia/commons/f/f7/Baked_potato.jpg,150.0,4.5,3.0,25.0,2.0,3.0,,,5.0,3.0,5.0,2.0,,,,,,3.0,,,,,,1.0
17,بامية باللحم,Okra with Meat,بامية، لحم، صلصة طماطم,"Okra, meat, tomato sauce",بامية، لحم، صلصة طماطم,Okra cooked with meat,لحوم,Meat,Medium,4.6,https://upload.wikimedia.org/wikipedia/commons/9/98/Okra_with_meat.jpg,142.0,7.1,14.8,9.7,,5.0,,1.0,,4.0,,,5.0,4.0,3.0,,4.0,,,5.0,2.0,1.0,,3.0
18,كبدة اسكندراني,Alexandrian Liver,كبدة، ثوم، فلفل، خل,"Liver, garlic, pepper, vinegar",كبدة حارة على الطريقة الإسكندرانية,Spicy Alexandrian-style liver,لحوم,Meat,Medium,4.7,https://upload.wikimedia.org/wikipedia/commons/a/a7/Kebda_Alexandria.jpg,165.0,6.5,24.5,3.5,,,,2.0,,2.0,,,4.0,5.0,1.0,,,,,,,2.0,,
19,شوربة كريمة الدجاج,Creamy Chicken Soup,دجاج، كريمة، بصل,"Chicken, cream, onion",شوربة دسمة ودافئة,Rich and warm creamy soup,شوربة,Soup,Medium,4.5,https://upload.wikimedia.org/wikipedia/commons/b/bb/Chicken_soup.jpg,87.0,4.9,4.1,7.2,2.0,,,,,,,,,,,1.0,,,,2.0,,2.0,2.0,
20,بسبوسة,Basbousa,سميد، سكر، زبدة، شربات,"Semolina, sugar, butter, syrup",حلوى شرقية مشهورة في المناسبات,Famous oriental dessert for occasions,حلويات,Dessert,High,4.9,https://upload.wikimedia.org/wikipedia/commons/5/5e/Basbousa.jpg,345.0,14.1,4.8,52.3,4.0,,5.0,1.0,4.0,,,,,,2.0,,2.0,,2.0,,,,,
21,محشي ورق عنب,Stuffed Grape Leaves,ورق عنب، أرز، بصل، طماطم، زيت زيتون، توابل,"grape leaves, rice, onion, tomato, olive oil, spices",أكلة شرقية خفيفة تُحشى بالأرز والتوابل وتطهى بزيت الزيتون.,A light oriental dish stuffed with rice and spices cooked in olive oil.,نباتي,Vegetarian,Low,4.4,https://upload.wikimedia.org/wikipedia/commons/5/52/Dolmades_2.jpg,99.0,2.8,2.0,16.8,2.0,1.0,,,,,,2.0,2.0,3.0,,2.0,,,,5.0,,,2.0,
22,كبسة دجاج,Chicken Kabsa,دجاج، أرز بسمتي، طماطم، بهارات كبسة، بصل,"chicken, basmati rice, tomato, kabsa spices, onion",أكلة سعودية شهيرة من الأرز والدجاج المتبل.,A famous Saudi dish of spiced rice and chicken.,دواجن,Poultry,Medium,4.7,https://upload.wikimedia.org/wikipedia/commons/d/d3/Chicken_Kabsa.jpg,162.0,5.4,12.8,18.7,,,,,,,3.0,,,,,,3.0,,,,,1.0,,
23,سمك مشوي,Grilled Fish,سمك، ليمون، ثوم، زيت، بهارات,"fish, lemon, garlic, oil, spices",سمك طازج مشوي متبل بالأعشاب والليمون.,Fresh grilled fish seasoned with herbs and lemon.,أسماك,Seafood,Medium,4.8,https://upload.wikimedia.org/wikipedia/commons/a/a2/Grilled_fish.jpg,124.0,2.7,23.0,0.0,,,,,1.0,,,,,,2.0,,,,,,,,1.0,
24,سلطة فتوش,Fattoush Salad,خس، طماطم، خيار، بصل، خبز محمص، دبس رمان,"lettuce, tomato, cucumber, onion, toasted bread, pomegranate molasses",سلطة شامية منعشة بالخبز المحمص ودبس الرمان.,A refreshing Levantine salad with toasted bread and pomegranate molasses.,نباتي,Vegetarian,Low,4.6,https://upload.wikimedia.org/wikipedia/commons/0/0a/Fattoush_2019.jpg,85.0,3.5,2.5,13.0,5.0,2.0,3.0,,2.0,3.0,,1.0,5.0,,,,,,,5.0,,2.0,,
25,بيتزا مارغريتا,Margherita Pizza,عجين، جبن موزاريلا، طماطم، ريحان,"dough, mozzarella cheese, tomato, basil",بيتزا إيطالية تقليدية بطعم الطماطم والريحان.,Classic Italian pizza with tomato and basil flavor.,معجنات,Pastry,High,4.5,https://upload.wikimedia.org/wikipedia/commons/d/d3/Supreme_pizza.jpg,276.0,13.8,11.2,27.9,2.0,,,,,1.0,,,1.0,,1.0,2.0,2.0,5.0,2.0,,,1.0,,2.0
26,كنافة,Kunafa,شعيرية، جبن، قطر، سمن,"vermicelli, cheese, syrup, ghee",حلوى شرقية مميزة بطبقة مقرمشة وحشوة الجبن.,Traditional dessert with crispy layers and cheese filling.,حلويات,Dessert,High,4.9,https://upload.wikimedia.org/wikipedia/commons/f/f5/Kunafa_Nabulsi.jpg,350.0,18.2,7.4,42.8,,,,,1.0,,5.0,2.0,4.0,4.0,,,1.0,,,4.0,4.0,,,
28,شوربة طماطم,Tomato Soup,طماطم، بصل، ثوم، زيت زيتون، ملح,"tomato, onion, garlic, olive oil, salt",شوربة بسيطة بطعم الطماطم الطبيعي.,A simple and comforting tomato-flavored soup.,شوربة,Soup,Low,4.3,https://upload.wikimedia.org/wikipedia/commons/f/f4/Tomato_soup_in_a_white_bowl.jpg,52.0,1.4,1.9,8.9,,,,,4.0,,,,,,,2.0,1.0,,,,,5.0,,
29,ملوخية بالأرانب,Molokhia with Rabbit,ملوخية، أرنب، ثوم، كسبرة، مرقة,"molokhia, rabbit, garlic, coriander, broth",طبق مصري تقليدي يُطهى من الملوخية مع الأرانب.,Traditional Egyptian dish made from molokhia and rabbit.,لحوم,Meat,Medium,4.8,https://upload.wikimedia.org/wikipedia/commons/9/91/Molokhia_with_rabbit.jpg,35.0,0.2,3.5,6.5,2.0,2.0,,,2.0,5.0,,,,,,,1.0,1.0,,,,1.0,1.0,
30,سلطة تبولة,Tabbouleh Salad,سلطة شامية منعشة غنية بالأعشاب والليمون.,"bulgur, parsley, mint, tomato, lemon",سلطة شامية منعشة غنية بالأعشاب والليمون.,A refreshing Levantine salad rich in herbs and lemon flavor.,نباتي,Vegetarian,Low,4.5,https://upload.wikimedia.org/wikipedia/commons/7/7b/Tabbouleh_salad.jpg,80.0,4.0,2.5,10.0,5.0,,,1.0,,,,4.0,3.0,2.0,,,,,,,,3.0,4.0,
31,بسلة بالجزر واللحمة,Peas with Carrots Stew and meat,بسلة، جزر، لحم مفروم، طماطم,"peas, carrots, minced meat, tomato",طبق منزلي بسيط من البسلة والجزر مع صلصة الطماطم واللحمة.,A homemade-style stew of peas and carrots with tomato sauce and meat.,لحوم,Meat,Medium,4.4,https://upload.wikimedia.org/wikipedia/commons/5/5a/Peas_and_carrots_stew.jpg,133.0,6.8,12.7,7.9,2.0,,,,,2.0,4.0,,,1.0,1.0,,,2.0,,,,3.0,,
32,بطاطس بوريه,Mashed Potatoes,بطاطس، لبن، زبدة، ملح,"potatoes, milk, butter, salt",بطاطس مهروسة ناعمة تُقدم كطبق جانبي.,Smooth mashed potatoes served as a side dish.,نباتي,Vegetarian,Medium,4.3,https://upload.wikimedia.org/wikipedia/commons/f/f1/Mashed_potatoes.jpg,120.0,5.0,2.5,16.0,,,,1.0,,,,,5.0,1.0,3.0,2.0,,,,,3.0,,,
33,سلطة خضراء,Green Salad,خس، طماطم، خيار، جزر، زيت زيتون,"lettuce, tomato, cucumber, carrot, olive oil",سلطة بسيطة ومنعشة تقدم بجانب معظم الأطباق.,A simple and refreshing salad served alongside most dishes.,نباتي,Vegetarian,Low,4.6,https://upload.wikimedia.org/wikipedia/commons/5/57/Green_salad.jpg,25.0,1.5,1.5,3.0,,,,5.0,4.0,,,,,2.0,,,,,3.0,,,,,4.0
34,بيتزا لحمة مفرومة,Minced Meat Pizza,عجين، لحم مفروم، بصل، فلفل، جبن,"dough, minced meat, onion, pepper, cheese",بيتزا دسمة غنية بالبروتين والمذاق العربي.,"A rich, meaty pizza with Arabic flavor.",معجنات,Pastry,High,4.7,https://upload.wikimedia.org/wikipedia/commons/2/24/Beef_pizza.jpg,276.0,13.8,11.2,27.9,,4.0,,3.0,,,,2.0,4.0,4.0,,,2.0,,4.0,,,,,
35,مسقعة,Moussaka,باذنجان، لحم مفروم، طماطم، بصل، ثوم,"eggplant, minced meat, tomato, onion, garlic",طبق مصري تقليدي من الباذنجان المقلي مع اللحم وصلصة الطماطم.,Traditional Egyptian dish of fried eggplant with minced meat and tomato sauce.,لحوم,Meat,Medium,4.6,https://upload.wikimedia.org/wikipedia/commons/d/d6/Moussaka_egyptian.jpg,250.0,15.0,26.0,0.0,,,,,,,2.0,,,3.0,5.0,,2.0,,,,2.0,1.0,,4.0
38,بيتزا خضار,Veggie Pizza,عجين، طماطم، فلفل، زيتون، جبن، مشروم,"dough, tomato, bell pepper, olives, cheese, mushroom",بيتزا نباتية مليئة بالخضروات الطازجة.,Vegetarian pizza loaded with fresh vegetables.,معجنات,Pastry,Medium,4.6,https://upload.wikimedia.org/wikipedia/commons/0/0e/Veggie_pizza.jpg,276.0,13.8,11.2,27.9,3.0,,,,5.0,,,4.0,1.0,5.0,4.0,5.0,,,,,1.0,3.0,,3.0
40,جلاش باللحمة المفرومة,Meat Goulash,جلاش، لحم مفروم، بصل، زبدة، بيض,"filo pastry, minced meat, onion, butter, egg",فطيرة مصرية مقرمشة محشوة باللحم المفروم.,Crispy Egyptian pie stuffed with minced meat.,معجنات,Pastry,High,4.8,https://upload.wikimedia.org/wikipedia/commons/f/f9/Goulash_meat_pie.jpg,312.0,16.4,7.8,36.2,1.0,,,4.0,2.0,,,5.0,4.0,2.0,4.0,,,,3.0,2.0,,,,2.0
41,بيتزا ببروني,Pepperoni Pizza,عجين، جبن موزاريلا، صوص طماطم، ببروني,"dough, mozzarella, tomato sauce, pepperoni",واحدة من أشهر أنواع البيتزا بطعم الببروني المميز.,One of the most famous pizzas with the taste of pepperoni.,معجنات,Pastry,High,4.8,https://upload.wikimedia.org/wikipedia/commons/d/d8/Pepperoni_pizza.jpg,312.0,16.4,7.8,36.2,4.0,,2.0,,1.0,,,2.0,,2.0,,,2.0,1.0,,,2.0,,1.0,3.0
42,بيتزا دجاج باربكيو,BBQ Chicken Pizza,عجين، دجاج، صوص باربكيو، جبن، بصل أحمر,"dough, chicken, BBQ sauce, cheese, red onion",بيتزا بنكهة الباربكيو الغنية والدجاج المشوي.,Pizza with rich BBQ flavor and grilled chicken.,معجنات,Pastry,High,4.7,https://upload.wikimedia.org/wikipedia/commons/f/f3/BBQ_Chicken_Pizza.jpg,276.0,13.8,11.2,27.9,5.0,,,,2.0,1.0,,,,,5.0,,,4.0,,4.0,,,,2.0
43,سلطة سيزر,Caesar Salad,خس، دجاج مشوي، جبن بارميزان، خبز محمص، صوص سيزر,"lettuce, grilled chicken, parmesan, croutons, caesar dressing",سلطة عالمية مشهورة بصوص السيزر المميز.,Famous salad with grilled chicken and caesar dressing.,دواجن,Poultry,Medium,4.8,https://upload.wikimedia.org/wikipedia/commons/3/3d/Caesar_salad_%281%29.jpg,185.0,14.0,10.0,7.0,2.0,,,,1.0,,,2.0,4.0,3.0,,,,2.0,4.0,,,2.0,,
45,فول مدمس,Foul Medames,فول، زيت، طماطم، ليمون، كمون,"fava beans, oil, tomato, lemon, cumin",أكلة مصرية شعبية شهيرة تقدم في الإفطار.,A traditional Egyptian dish made from slow-cooked fava beans.,نباتي,Vegetarian,Medium,4.9,https://upload.wikimedia.org/wikipedia/commons/3/3d/Ful_medames.jpg,110.0,0.7,7.6,19.7,3.0,,1.0,,,1.0,5.0,,4.0,1.0,3.0,,4.0,,,,,2.0,,
46,سمك سنجاري,Singari Fish,سمك، طماطم، بصل، ثوم، ليمون,"fish, tomato, onion, garlic, lemon",سمك مشوي على الطريقة الإسكندرانية بنكهات حامضة.,Grilled Alexandrian-style fish with tangy flavors.,أسماك,Seafood,Medium,4.8,https://upload.wikimedia.org/wikipedia/commons/0/0c/Singary_fish.jpg,116.0,2.6,22.0,1.7,,,,2.0,,,,,,4.0,,,,4.0,,,,,,
47,طاجن مكرونة باللحمة,Baked Pasta with Meat,مكرونة، لحم مفروم، جبن، صلصة طماطم,"pasta, minced meat, cheese, tomato sauce",مكرونة مخبوزة بطبقة غنية من الجبن والصلصة.,Baked pasta topped with cheese and rich tomato sauce.,مكرونة,Pasta,High,4.6,https://upload.wikimedia.org/wikipedia/commons/4/44/Baked_pasta_with_meat.jpg,124.0,2.9,4.2,20.8,2.0,,,,,2.0,,,,,,,,,,1.0,,5.0,,5.0
48,عجة بيض بالخضار,Vegetable Omelette,بيض، بصل، فلفل، طماطم، بقدونس,"eggs, onion, pepper, tomato, parsley",وجبة خفيفة مغذية تحتوي على بيض وخضروات طازجة.,"A light, nutritious meal with eggs and fresh vegetables.",نباتي,Vegetarian,Medium,4.4,https://upload.wikimedia.org/wikipedia/commons/1/16/Veggie_omelette.jpg,150.0,10.0,9.5,5.0,,,1.0,4.0,4.0,,,,5.0,2.0,4.0,1.0,4.0,5.0,,,1.0,2.0,,1.0
49,صينية كباب حلة,Egyptian Beef Stew,لحم، بصل، بهارات، زيت، فلفل,"beef, onion, spices, oil, pepper",أكلة مصرية تقليدية من اللحم المطهو على نار هادئة.,Traditional Egyptian beef stew cooked slowly with onions and spices.,لحوم,Meat,Medium,4.9,https://upload.wikimedia.org/wikipedia/commons/7/7b/Kabab_halla.jpg,258.0,16.5,25.6,0.0,,,,,,,2.0,,5.0,2.0,,1.0,2.0,,,5.0,,,,
50,شوربة فراخ بالكريمة,Creamy Chicken Soup,دجاج، كريمة، بصل، فلفل أسود,"chicken, cream, onion, black pepper",شوربة دافئة وغنية بالكريمة والدجاج.,Warm creamy soup with tender chicken pieces.,شوربة,Soup,High,4.7,https://upload.wikimedia.org/wikipedia/commons/d/d5/Creamy_chicken_soup.jpg,87.0,4.9,4.1,7.2,,,,,1.0,3.0,3.0,,,1.0,3.0,,1.0,,3.0,,,,,
51,كشري بالعدس الأصفر,Yellow Lentil Koshari,أرز، عدس أصفر، مكرونة، بصل مقلي,"rice, yellow lentils, pasta, fried onion",نسخة أخف من الكشري المصري باستخدام العدس الأصفر.,A lighter version of Egyptian Koshari using yellow lentils.,نباتي,Vegetarian,Medium,4.5,https://upload.wikimedia.org/wikipedia/commons/f/fb/Lentil_Koshari.jpg,140.0,3.3,4.3,23.3,,,,,4.0,,5.0,,,,3.0,4.0,,4.0,,,2.0,5.0,4.0,
52,جمبري بالكاري,Shrimp Curry,جمبري، كاري، جوز هند، ثوم، بصل,"shrimp, curry, coconut, garlic, onion",طبق بحري غني بالنكهات الهندية والتوابل القوية.,A flavorful seafood dish with Indian spices and coconut milk.,أسماك,Seafood,High,4.5,https://upload.wikimedia.org/wikipedia/commons/7/7c/Shrimp_curry.jpg,99.0,0.3,24.0,0.2,,3.0,5.0,1.0,,,3.0,,,2.0,,4.0,5.0,,,,2.0,4.0,,1.0
53,سلطة يونانية,Greek Salad,خيار، طماطم، زيتون، جبنة فيتا، زيت زيتون,"cucumber, tomato, olives, feta cheese, olive oil",سلطة خفيفة ومنعشة غنية بالنكهات المتوسطية.,"A light, refreshing salad with Mediterranean flavors.",نباتي,Vegetarian,Low,4.6,https://upload.wikimedia.org/wikipedia/commons/5/5b/Greek_salad.jpg,265.0,21.5,14.2,3.9,5.0,,,,2.0,,1.0,3.0,,,,4.0,,1.0,,,5.0,1.0,,
54,مهلبية,Mahalabia,لبن، نشا، سكر، فانيليا، مكسرات,"milk, starch, sugar, vanilla, nuts",حلوى شرقية ناعمة ومحببة.,A smooth and beloved Middle Eastern dessert.,حلويات,Dessert,High,4.7,https://upload.wikimedia.org/wikipedia/commons/d/d8/Mahalabia.jpg,119.0,3.9,3.8,18.2,5.0,,,1.0,,,4.0,,,,,,5.0,,,,,5.0,,4.0
55,كوسة بالبشاميل,Zucchini Gratin,كوسة، بشاميل، جبنة، لبن,"zucchini, bechamel, cheese, milk",طبق خفيف وصحي غني بالكالسيوم.,A light and healthy dish rich in calcium.,نباتي,Vegetarian,Medium,4.2,https://upload.wikimedia.org/wikipedia/commons/5/54/Zucchini_gratin.jpg,218.0,11.1,13.6,18.8,4.0,,,2.0,5.0,,4.0,1.0,,,,,1.0,,,1.0,,2.0,,
56,طاجن تورلي,Tori Casserole,بطاطس، كوسة، باذنجان، جزر، صلصة طماطم,"Potatoes, zucchini, eggplant, carrots, tomato sauce",طاجن خضار مصري مشكل بالصلصة ومتسوي في الفرن,An Egyptian mixed vegetable casserole baked in tomato sauce,نباتي,Vegetarian,Low,4.5,https://upload.wikimedia.org/wikipedia/commons/3/3a/Tori_Casserole.jpg,65.0,2.5,2.0,10.0,1.0,,,,,1.0,2.0,,2.0,2.0,,,1.0,,,4.0,,5.0,,5.0
59,فتة كوارع,Fattah Kawarea,كوارع، رز، عيش محمص، ثوم، خل,"Cow trotters, rice, toasted bread, garlic, vinegar",أكلة مصرية تقليدية بالكوارع والعيش والثوم,"Traditional Egyptian dish made with cow trotters, rice, and garlic vinegar sauce",لحوم,Meat,High,4.8,https://upload.wikimedia.org/wikipedia/commons/e/e7/Fattah_Kaware3.jpg,177.0,4.7,9.8,22.8,,,5.0,2.0,2.0,,,,,,5.0,,5.0,,,,,2.0,,5.0
60,ممبار,Mombar,أمعاء، رز، بصل، طماطم، توابل,"Intestines, rice, onions, tomatoes, spices",أمعاء البقر محشية بالأرز ومقلية أو مسلوقة,Stuffed beef intestines filled with rice and spices,لحوم,Meat,High,4.7,https://upload.wikimedia.org/wikipedia/commons/7/74/Mombar.jpg,280.0,22.0,17.0,3.0,4.0,5.0,5.0,,1.0,5.0,,,,,,,2.0,,3.0,,,,,
62,لقمة القاضي,Zalabia,دقيق، سكر، خميرة، زيت، شربات,"Flour, sugar, yeast, oil, syrup",كرات عجين مقلية ومغطاة بالشربات,Fried dough balls dipped in syrup,حلويات,Dessert,High,4.8,https://upload.wikimedia.org/wikipedia/commons/7/73/Lokma.jpg,350.0,18.0,4.5,45.0,3.0,2.0,3.0,,,,,,,4.0,1.0,2.0,2.0,,,5.0,,,4.0,2.0
63,بيض بالبصل والطماطم,Eggs with Onions and Tomato,بيض، بصل، طماطم، زيت,"Eggs, onion, tomato, oil",أكلة فطار مصرية بالبصل والطماطم,Egyptian-style scrambled eggs with onion and tomato,نباتي,Vegetarian,Medium,4.6,https://upload.wikimedia.org/wikipedia/commons/3/3a/Egyptian_eggs_tomato.jpg,155.0,11.0,9.0,5.0,3.0,,,,3.0,5.0,,1.0,,,,4.0,,4.0,,2.0,,3.0,4.0,4.0
64,فول بالطماطم والشطة,Foul with Tomato & Chili,فول مدمس متشوح بالطماطم والشطة,"Fava beans, tomato, chili, oil",فول مدمس متشوح بالطماطم والشطة,Fava beans sautéed with tomato and chili,نباتي,Vegetarian,Medium,4.5,https://upload.wikimedia.org/wikipedia/commons/2/2e/Foul_medames.jpg,115.0,1.0,7.5,20.0,,,,3.0,,1.0,,,,4.0,2.0,,,,,,,1.0,,
65,سجق إسكندراني,Alexandrian Sausage,سجق بلدي، بصل، فلفل، طماطم,"Local sausage, onion, pepper, tomato",سجق متشوح بالخضار على الطريقة الإسكندرانية,"Sausages stir-fried with vegetables, Alexandrian style",لحوم,Meat,Medium,4.6,https://upload.wikimedia.org/wikipedia/commons/d/d1/Alexandrian_Sausage.jpg,301.0,25.6,17.9,1.8,,5.0,5.0,,1.0,,,,,,,,,,,,3.0,,,3.0
66,كنافة بالكريمة,Konafa with Cream,كنافة، كريمة، سكر، سمنة,"Konafa, cream, sugar, butter",كنافة محشية كريمة لباني ومكسرات,Konafa filled with cream and nuts,حلويات,Dessert,High,4.9,https://upload.wikimedia.org/wikipedia/commons/a/a3/Konafa_with_cream.jpg,350.0,18.2,7.4,42.8,1.0,,,,1.0,3.0,,,,,,3.0,,,,,,4.0,4.0,
67,طاجن بامية باللحم,Okra Stew with Lamb,بامية، لحم ضاني، صلصة طماطم,"Okra, lamb, tomato sauce",بامية باللحم مطهية في الطاجن بالفرن,Okra and lamb stew baked in a clay pot,لحوم,Meat,Medium,4.7,https://upload.wikimedia.org/wikipedia/commons/f/f8/Okra_with_lamb.jpg,142.0,7.1,14.8,9.7,5.0,,2.0,,,,,5.0,,,,,2.0,2.0,3.0,,5.0,,,2.0
